2021-03-07/10:39:15		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:15		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:15		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:15		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:15		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:15		 wafer_21012020_080913.csv: File loaded successfully!!
2021-03-07/10:39:15		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:16		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:17		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
2021-03-07/10:39:18		 wafer_23012020_041211.csv: File loaded successfully!!
